Value of variables for instance: 10att48
Variable X[i][j]
y[40][5] = 1
y[41][17] = 1
y[42][40] = 1
y[45][44] = 1
y[64][63] = 1

Variable w[i][j]
w[2][2] = 1
w[5][5] = 1
w[5][52] = 1
w[6][1] = 1
w[6][6] = 1
w[7][7] = 1
w[8][8] = 1
w[9][4] = 1
w[9][9] = 1
w[11][11] = 1
w[12][12] = 1
w[12][28] = 1
w[13][13] = 1
w[15][15] = 1
w[16][16] = 1
w[17][3] = 1
w[17][17] = 1
w[18][18] = 1
w[19][19] = 1
w[20][20] = 1
w[22][22] = 1
w[23][14] = 1
w[23][23] = 1
w[25][25] = 1
w[26][26] = 1
w[27][27] = 1
w[29][29] = 1
w[30][30] = 1
w[30][69] = 1
w[31][31] = 1
w[32][32] = 1
w[33][33] = 1
w[35][35] = 1
w[37][37] = 1
w[39][39] = 1
w[39][60] = 1
w[40][40] = 1
w[41][41] = 1
w[42][42] = 1
w[43][43] = 1
w[44][24] = 1
w[44][38] = 1
w[44][44] = 1
w[45][45] = 1
w[46][46] = 1
w[48][48] = 1
w[48][54] = 1
w[49][49] = 1
w[50][50] = 1
w[51][51] = 1
w[53][53] = 1
w[53][61] = 1
w[55][10] = 1
w[55][55] = 1
w[56][56] = 1
w[57][36] = 1
w[57][57] = 1
w[58][58] = 1
w[59][59] = 1
w[62][21] = 1
w[62][62] = 1
w[62][65] = 1
w[63][63] = 1
w[64][64] = 1
w[66][47] = 1
w[66][66] = 1
w[67][67] = 1
w[68][34] = 1
w[68][68] = 1

Variable f[i][j]
f[0][7] = 14
f[2][11] = 1
f[6][10] = 10
f[7][12] = 13
f[8][13] = 6
f[9][14] = 3
f[10][1] = 1
f[10][5] = 1
f[10][8] = 7
f[12][3] = 1
f[12][6] = 11
f[13][4] = 1
f[13][9] = 4
f[14][2] = 2

Value of variables for instance: 16eil76
Variable X[i][j]
X[0][42] = 1
X[1][5] = 1
X[4][28] = 1
X[5][67] = 1
X[7][34] = 1
X[9][57] = 1
X[10][64] = 1
X[11][39] = 1
X[13][52] = 1
X[14][4] = 1
X[15][0] = 1
X[17][23] = 1
X[19][36] = 1
X[23][48] = 1
X[27][73] = 1
X[28][44] = 1
X[29][1] = 1
X[31][49] = 1
X[32][72] = 1
X[33][45] = 1
X[34][13] = 1
X[35][70] = 1
X[36][14] = 1
X[37][9] = 1
X[38][11] = 1
X[39][43] = 1
X[42][62] = 1
X[43][31] = 1
X[44][29] = 1
X[45][7] = 1
X[46][35] = 1
X[47][46] = 1
X[48][15] = 1
X[49][17] = 1
X[52][10] = 1
X[57][71] = 1
X[59][69] = 1
X[61][27] = 1
X[62][32] = 1
X[64][37] = 1
X[66][33] = 1
X[67][74] = 1
X[69][19] = 1
X[70][59] = 1
X[71][38] = 1
X[72][61] = 1
X[73][47] = 1
X[74][75] = 1
X[75][66] = 1

Variable y[i][j]
y[12][53] = 1
y[13][58] = 1
y[24][54] = 1
y[33][51] = 1
y[40][55] = 1
y[42][40] = 1
y[42][41] = 1
y[49][24] = 1
y[51][12] = 1
y[55][22] = 1

Variable w[i][j]
w[1][1] = 1
w[4][4] = 1
w[5][5] = 1
w[5][50] = 1
w[7][7] = 1
w[9][9] = 1
w[9][30] = 1
w[10][10] = 1
w[10][65] = 1
w[11][11] = 1
w[11][25] = 1
w[12][12] = 1
w[13][13] = 1
w[14][14] = 1
w[14][56] = 1
w[15][15] = 1
w[17][17] = 1
w[19][19] = 1
w[22][22] = 1
w[23][23] = 1
w[24][24] = 1
w[27][27] = 1
w[27][60] = 1
w[28][26] = 1
w[28][28] = 1
w[29][29] = 1
w[31][8] = 1
w[31][31] = 1
w[32][32] = 1
w[33][33] = 1
w[34][6] = 1
w[34][34] = 1
w[35][35] = 1
w[35][68] = 1
w[36][36] = 1
w[37][37] = 1
w[38][38] = 1
w[39][16] = 1
w[39][39] = 1
w[40][40] = 1
w[41][41] = 1
w[41][63] = 1
w[42][42] = 1
w[43][2] = 1
w[43][43] = 1
w[44][44] = 1
w[45][45] = 1
w[46][20] = 1
w[46][46] = 1
w[47][47] = 1
w[48][48] = 1
w[49][49] = 1
w[51][51] = 1
w[52][52] = 1
w[53][18] = 1
w[53][53] = 1
w[54][54] = 1
w[55][55] = 1
w[57][57] = 1
w[58][58] = 1
w[59][59] = 1
w[61][21] = 1
w[61][61] = 1
w[62][62] = 1
w[64][64] = 1
w[66][66] = 1
w[67][67] = 1
w[69][69] = 1
w[70][70] = 1
w[71][71] = 1
w[72][72] = 1
w[73][73] = 1
w[74][3] = 1
w[74][74] = 1
w[75][75] = 1

Variable f[i][j]
f[0][10] = 16
f[4][13] = 11
f[5][9] = 1
f[5][12] = 8
f[6][16] = 4
f[8][4] = 12
f[10][2] = 1
f[10][8] = 13
f[10][15] = 1
f[11][3] = 1
f[11][7] = 1
f[12][1] = 1
f[12][14] = 6
f[13][5] = 10
f[14][6] = 5
f[16][11] = 3

Value of variables for instance: 16pr76
Variable X[i][j]
X[0][1] = 1
X[1][2] = 1
X[2][6] = 1
X[4][9] = 1
X[5][4] = 1
X[6][5] = 1
X[8][11] = 1
X[9][8] = 1
X[11][12] = 1
X[12][13] = 1
X[13][14] = 1
X[14][15] = 1
X[15][16] = 1
X[16][17] = 1
X[17][36] = 1
X[20][21] = 1
X[21][22] = 1
X[22][0] = 1
X[23][24] = 1
X[24][20] = 1
X[35][37] = 1
X[36][35] = 1
X[37][38] = 1
X[38][39] = 1
X[39][40] = 1
X[40][59] = 1
X[43][44] = 1
X[44][45] = 1
X[45][23] = 1
X[46][47] = 1
X[47][43] = 1
X[49][66] = 1
X[50][65] = 1
X[51][50] = 1
X[52][51] = 1
X[53][52] = 1
X[54][53] = 1
X[56][57] = 1
X[57][54] = 1
X[58][60] = 1
X[59][58] = 1
X[60][61] = 1
X[61][63] = 1
X[62][56] = 1
X[63][62] = 1
X[65][49] = 1
X[66][67] = 1
X[67][68] = 1
X[68][46] = 1

Variable y[i][j]
y[0][74] = 1
y[4][19] = 1
y[13][73] = 1
y[18][30] = 1
y[19][18] = 1
y[26][25] = 1
y[27][26] = 1
y[28][31] = 1
y[29][28] = 1
y[30][29] = 1
y[31][32] = 1
y[32][27] = 1
y[63][71] = 1
y[66][69] = 1
y[71][72] = 1
y[74][75] = 1

Variable w[i][j]
w[1][1] = 1
w[2][2] = 1
w[2][3] = 1
w[4][4] = 1
w[5][5] = 1
w[6][6] = 1
w[6][7] = 1
w[8][8] = 1
w[9][9] = 1
w[11][11] = 1
w[12][12] = 1
w[13][13] = 1
w[14][14] = 1
w[15][15] = 1
w[16][10] = 1
w[16][16] = 1
w[17][17] = 1
w[18][18] = 1
w[19][19] = 1
w[20][20] = 1
w[21][21] = 1
w[22][22] = 1
w[23][23] = 1
w[24][24] = 1
w[25][25] = 1
w[26][26] = 1
w[27][27] = 1
w[27][42] = 1
w[28][28] = 1
w[29][29] = 1
w[30][30] = 1
w[31][31] = 1
w[32][32] = 1
w[35][34] = 1
w[35][35] = 1
w[36][36] = 1
w[37][37] = 1
w[38][38] = 1
w[39][33] = 1
w[39][39] = 1
w[40][40] = 1
w[43][43] = 1
w[44][44] = 1
w[45][45] = 1
w[46][46] = 1
w[47][47] = 1
w[49][49] = 1
w[50][50] = 1
w[51][48] = 1
w[51][51] = 1
w[52][52] = 1
w[53][41] = 1
w[53][53] = 1
w[54][54] = 1
w[54][55] = 1
w[56][56] = 1
w[57][57] = 1
w[58][58] = 1
w[59][59] = 1
w[60][60] = 1
w[61][61] = 1
w[62][62] = 1
w[63][63] = 1
w[65][64] = 1
w[65][65] = 1
w[66][66] = 1
w[67][67] = 1
w[68][68] = 1
w[69][69] = 1
w[71][70] = 1
w[71][71] = 1
w[72][72] = 1
w[73][73] = 1
w[74][74] = 1
w[75][75] = 1

Variable f[i][j]
f[0][2] = 1
f[0][11] = 15
f[3][12] = 9
f[4][9] = 1
f[4][14] = 2
f[7][16] = 5
f[8][10] = 1
f[8][13] = 12
f[11][8] = 14
f[12][15] = 8
f[13][3] = 10
f[13][6] = 1
f[14][5] = 1
f[15][1] = 1
f[15][7] = 6
f[16][4] = 4

Value of variables for instance: 20gr96
Variable X[i][j]
X[0][29] = 1
X[1][0] = 1
X[3][1] = 1
X[4][3] = 1
X[5][4] = 1
X[6][5] = 1
X[8][6] = 1
X[9][8] = 1
X[11][9] = 1
X[13][11] = 1
X[14][13] = 1
X[15][14] = 1
X[16][15] = 1
X[19][16] = 1
X[20][19] = 1
X[21][20] = 1
X[22][25] = 1
X[23][22] = 1
X[24][23] = 1
X[25][21] = 1
X[29][30] = 1
X[30][31] = 1
X[31][35] = 1
X[32][43] = 1
X[33][32] = 1
X[34][33] = 1
X[35][36] = 1
X[36][37] = 1
X[37][34] = 1
X[39][40] = 1
X[40][41] = 1
X[41][42] = 1
X[42][48] = 1
X[43][39] = 1
X[46][47] = 1
X[47][24] = 1
X[48][49] = 1
X[49][51] = 1
X[51][54] = 1
X[52][46] = 1
X[53][52] = 1
X[54][55] = 1
X[55][56] = 1
X[56][68] = 1
X[57][53] = 1
X[58][57] = 1
X[60][58] = 1
X[61][60] = 1
X[62][61] = 1
X[63][62] = 1
X[65][63] = 1
X[67][65] = 1
X[68][69] = 1
X[69][80] = 1
X[77][91] = 1
X[80][82] = 1
X[82][90] = 1
X[84][77] = 1
X[86][84] = 1
X[88][86] = 1
X[89][88] = 1
X[90][89] = 1
X[91][92] = 1
X[92][93] = 1
X[93][67] = 1

Variable y[i][j]
y[68][78] = 1
y[71][70] = 1
y[72][71] = 1
y[73][74] = 1
y[74][72] = 1
y[82][79] = 1
y[84][73] = 1
y[92][94] = 1

Variable w[i][j]
w[1][1] = 1
w[1][2] = 1
w[3][3] = 1
w[4][4] = 1
w[5][5] = 1
w[5][7] = 1
w[6][6] = 1
w[8][8] = 1
w[9][9] = 1
w[11][11] = 1
w[13][12] = 1
w[13][13] = 1
w[14][14] = 1
w[15][15] = 1
w[16][16] = 1
w[19][17] = 1
w[19][18] = 1
w[19][19] = 1
w[20][20] = 1
w[21][21] = 1
w[22][22] = 1
w[23][23] = 1
w[24][24] = 1
w[25][25] = 1
w[25][26] = 1
w[25][27] = 1
w[29][28] = 1
w[29][29] = 1
w[30][30] = 1
w[31][31] = 1
w[32][10] = 1
w[32][32] = 1
w[33][33] = 1
w[34][34] = 1
w[35][35] = 1
w[36][36] = 1
w[37][37] = 1
w[39][38] = 1
w[39][39] = 1
w[40][40] = 1
w[41][41] = 1
w[42][42] = 1
w[43][43] = 1
w[43][44] = 1
w[46][45] = 1
w[46][46] = 1
w[47][47] = 1
w[48][48] = 1
w[49][49] = 1
w[51][51] = 1
w[52][52] = 1
w[53][53] = 1
w[54][50] = 1
w[54][54] = 1
w[55][55] = 1
w[56][56] = 1
w[57][57] = 1
w[58][58] = 1
w[60][60] = 1
w[61][59] = 1
w[61][61] = 1
w[62][62] = 1
w[63][63] = 1
w[65][64] = 1
w[65][65] = 1
w[67][66] = 1
w[67][67] = 1
w[68][68] = 1
w[69][69] = 1
w[70][70] = 1
w[71][71] = 1
w[72][72] = 1
w[73][73] = 1
w[74][74] = 1
w[74][75] = 1
w[74][76] = 1
w[77][77] = 1
w[77][87] = 1
w[78][78] = 1
w[79][79] = 1
w[80][80] = 1
w[80][81] = 1
w[82][82] = 1
w[84][83] = 1
w[84][84] = 1
w[84][85] = 1
w[86][86] = 1
w[88][88] = 1
w[89][89] = 1
w[90][90] = 1
w[91][91] = 1
w[92][92] = 1
w[93][93] = 1
w[93][95] = 1
w[94][94] = 1

Variable f[i][j]
f[0][14] = 20
f[4][17] = 3
f[5][11] = 1
f[5][16] = 14
f[6][12] = 1
f[6][19] = 10
f[7][20] = 18
f[8][2] = 1
f[9][15] = 6
f[10][4] = 4
f[13][9] = 7
f[14][7] = 19
f[15][10] = 5
f[16][3] = 1
f[16][6] = 12
f[17][8] = 2
f[18][5] = 16
f[19][1] = 1
f[19][13] = 8
f[20][18] = 17

Value of variables for instance: 20kroA100
Variable X[i][j]
X[0][92] = 1
X[1][43] = 1
X[2][45] = 1
X[3][18] = 1
X[4][77] = 1
X[5][62] = 1
X[6][56] = 1
X[7][91] = 1
X[9][83] = 1
X[10][73] = 1
X[11][26] = 1
X[12][32] = 1
X[13][2] = 1
X[14][16] = 1
X[15][21] = 1
X[16][10] = 1
X[17][78] = 1
X[18][74] = 1
X[19][11] = 1
X[20][71] = 1
X[21][69] = 1
X[22][97] = 1
X[23][17] = 1
X[24][80] = 1
X[26][85] = 1
X[27][57] = 1
X[28][33] = 1
X[30][88] = 1
X[31][14] = 1
X[32][36] = 1
X[33][82] = 1
X[35][37] = 1
X[36][4] = 1
X[37][23] = 1
X[39][53] = 1
X[41][7] = 1
X[43][81] = 1
X[45][28] = 1
X[47][99] = 1
X[48][5] = 1
X[51][47] = 1
X[52][87] = 1
X[53][1] = 1
X[54][6] = 1
X[55][79] = 1
X[56][19] = 1
X[57][60] = 1
X[59][22] = 1
X[60][24] = 1
X[61][59] = 1
X[62][0] = 1
X[63][39] = 1
X[64][3] = 1
X[65][64] = 1
X[68][63] = 1
X[69][65] = 1
X[70][13] = 1
X[71][9] = 1
X[73][20] = 1
X[74][96] = 1
X[77][51] = 1
X[78][52] = 1
X[79][30] = 1
X[80][68] = 1
X[81][94] = 1
X[82][54] = 1
X[83][35] = 1
X[85][61] = 1
X[87][15] = 1
X[88][41] = 1
X[90][31] = 1
X[91][48] = 1
X[92][27] = 1
X[94][12] = 1
X[96][55] = 1
X[97][90] = 1
X[99][70] = 1

Variable y[i][j]
y[31][46] = 1
y[43][49] = 1
y[49][72] = 1
y[72][67] = 1
y[77][95] = 1
y[95][38] = 1

Variable w[i][j]
w[1][1] = 1
w[2][2] = 1
w[2][42] = 1
w[3][3] = 1
w[4][4] = 1
w[5][5] = 1
w[6][6] = 1
w[6][8] = 1
w[7][7] = 1
w[9][9] = 1
w[10][10] = 1
w[11][11] = 1
w[12][12] = 1
w[13][13] = 1
w[14][14] = 1
w[15][15] = 1
w[16][16] = 1
w[17][17] = 1
w[18][18] = 1
w[19][19] = 1
w[20][20] = 1
w[21][21] = 1
w[21][93] = 1
w[22][22] = 1
w[23][23] = 1
w[24][24] = 1
w[26][26] = 1
w[27][27] = 1
w[27][66] = 1
w[28][28] = 1
w[30][30] = 1
w[31][31] = 1
w[32][32] = 1
w[32][75] = 1
w[33][33] = 1
w[35][35] = 1
w[35][98] = 1
w[36][36] = 1
w[37][37] = 1
w[38][29] = 1
w[38][38] = 1
w[39][39] = 1
w[41][41] = 1
w[43][43] = 1
w[45][45] = 1
w[46][46] = 1
w[47][47] = 1
w[48][48] = 1
w[48][89] = 1
w[49][49] = 1
w[51][51] = 1
w[52][52] = 1
w[53][53] = 1
w[54][54] = 1
w[55][55] = 1
w[56][56] = 1
w[56][86] = 1
w[57][57] = 1
w[59][59] = 1
w[59][76] = 1
w[60][50] = 1
w[60][60] = 1
w[61][61] = 1
w[62][62] = 1
w[63][63] = 1
w[64][25] = 1
w[64][64] = 1
w[65][65] = 1
w[67][67] = 1
w[67][84] = 1
w[68][68] = 1
w[69][69] = 1
w[70][40] = 1
w[70][70] = 1
w[71][71] = 1
w[72][72] = 1
w[73][58] = 1
w[73][73] = 1
w[74][74] = 1
w[77][77] = 1
w[78][78] = 1
w[79][79] = 1
w[80][80] = 1
w[81][81] = 1
w[82][82] = 1
w[83][83] = 1
w[85][34] = 1
w[85][85] = 1
w[87][87] = 1
w[88][88] = 1
w[90][44] = 1
w[90][90] = 1
w[91][91] = 1
w[92][92] = 1
w[94][94] = 1
w[95][95] = 1
w[96][96] = 1
w[97][97] = 1
w[99][99] = 1

Variable f[i][j]
f[0][10] = 20
f[1][14] = 12
f[2][16] = 3
f[3][12] = 7
f[3][19] = 1
f[4][13] = 1
f[4][15] = 16
f[5][11] = 5
f[6][9] = 1
f[7][17] = 10
f[8][1] = 13
f[8][20] = 1
f[10][18] = 19
f[11][2] = 4
f[12][5] = 6
f[14][7] = 11
f[15][8] = 15
f[16][6] = 2
f[17][3] = 9
f[18][4] = 18

Value of variables for instance: 20kroB100
Variable X[i][j]
X[0][89] = 1
X[1][12] = 1
X[2][10] = 1
X[3][86] = 1
X[4][61] = 1
X[5][3] = 1
X[6][56] = 1
X[8][24] = 1
X[10][92] = 1
X[12][62] = 1
X[14][5] = 1
X[15][1] = 1
X[17][15] = 1
X[21][54] = 1
X[23][17] = 1
X[24][45] = 1
X[25][99] = 1
X[26][8] = 1
X[27][2] = 1
X[30][47] = 1
X[31][58] = 1
X[32][14] = 1
X[36][87] = 1
X[38][39] = 1
X[39][66] = 1
X[42][51] = 1
X[45][0] = 1
X[47][81] = 1
X[49][76] = 1
X[51][57] = 1
X[52][69] = 1
X[54][49] = 1
X[55][80] = 1
X[56][93] = 1
X[57][83] = 1
X[58][75] = 1
X[59][88] = 1
X[60][26] = 1
X[61][68] = 1
X[62][30] = 1
X[63][32] = 1
X[64][36] = 1
X[66][4] = 1
X[68][25] = 1
X[69][38] = 1
X[72][52] = 1
X[75][98] = 1
X[76][23] = 1
X[78][64] = 1
X[80][78] = 1
X[81][63] = 1
X[83][6] = 1
X[84][72] = 1
X[86][59] = 1
X[87][21] = 1
X[88][42] = 1
X[89][94] = 1
X[90][27] = 1
X[92][84] = 1
X[93][60] = 1
X[94][97] = 1
X[96][90] = 1
X[97][31] = 1
X[98][96] = 1
X[99][55] = 1

Variable y[i][j]
y[12][77] = 1
y[16][44] = 1
y[17][91] = 1
y[19][37] = 1
y[29][79] = 1
y[37][85] = 1
y[44][35] = 1
y[47][50] = 1
y[68][74] = 1
y[74][29] = 1
y[77][16] = 1
y[79][19] = 1
y[85][67] = 1

Variable w[i][j]
w[1][1] = 1
w[2][2] = 1
w[3][3] = 1
w[3][82] = 1
w[4][4] = 1
w[5][5] = 1
w[6][6] = 1
w[8][8] = 1
w[10][10] = 1
w[12][12] = 1
w[14][14] = 1
w[15][15] = 1
w[16][16] = 1
w[16][40] = 1
w[17][17] = 1
w[19][19] = 1
w[21][21] = 1
w[21][22] = 1
w[23][23] = 1
w[24][24] = 1
w[25][25] = 1
w[26][26] = 1
w[26][70] = 1
w[27][27] = 1
w[29][29] = 1
w[30][30] = 1
w[31][31] = 1
w[32][32] = 1
w[35][35] = 1
w[35][95] = 1
w[36][36] = 1
w[36][71] = 1
w[37][37] = 1
w[38][38] = 1
w[39][39] = 1
w[42][42] = 1
w[44][44] = 1
w[45][45] = 1
w[47][47] = 1
w[49][49] = 1
w[50][50] = 1
w[51][51] = 1
w[51][53] = 1
w[52][52] = 1
w[54][54] = 1
w[55][55] = 1
w[56][33] = 1
w[56][56] = 1
w[57][57] = 1
w[58][58] = 1
w[59][59] = 1
w[59][73] = 1
w[60][34] = 1
w[60][60] = 1
w[61][61] = 1
w[62][62] = 1
w[63][13] = 1
w[63][41] = 1
w[63][63] = 1
w[64][64] = 1
w[66][66] = 1
w[67][9] = 1
w[67][67] = 1
w[68][68] = 1
w[69][69] = 1
w[72][72] = 1
w[74][74] = 1
w[75][75] = 1
w[76][76] = 1
w[77][77] = 1
w[78][46] = 1
w[78][78] = 1
w[79][79] = 1
w[80][80] = 1
w[81][81] = 1
w[83][83] = 1
w[84][84] = 1
w[85][48] = 1
w[85][85] = 1
w[86][65] = 1
w[86][86] = 1
w[87][87] = 1
w[88][88] = 1
w[89][20] = 1
w[89][89] = 1
w[90][90] = 1
w[91][18] = 1
w[91][43] = 1
w[91][91] = 1
w[92][92] = 1
w[93][93] = 1
w[94][94] = 1
w[96][96] = 1
w[97][11] = 1
w[97][97] = 1
w[98][7] = 1
w[98][28] = 1
w[98][98] = 1
w[99][99] = 1

Variable f[i][j]
f[0][11] = 20
f[2][10] = 17
f[3][15] = 12
f[4][12] = 3
f[5][14] = 15
f[7][18] = 5
f[7][20] = 1
f[8][13] = 10
f[10][5] = 16
f[11][19] = 19
f[12][16] = 2
f[13][1] = 1
f[13][7] = 7
f[13][17] = 1
f[14][3] = 13
f[14][9] = 1
f[15][8] = 11
f[16][6] = 1
f[18][4] = 4
f[19][2] = 18

Value of variables for instance: 20kroC100
Variable X[i][j]
X[0][52] = 1
X[2][68] = 1
X[4][85] = 1
X[5][53] = 1
X[7][16] = 1
X[9][35] = 1
X[10][83] = 1
X[11][39] = 1
X[12][78] = 1
X[13][98] = 1
X[14][12] = 1
X[15][36] = 1
X[16][24] = 1
X[17][48] = 1
X[18][91] = 1
X[21][7] = 1
X[22][34] = 1
X[23][28] = 1
X[24][89] = 1
X[26][14] = 1
X[27][37] = 1
X[28][17] = 1
X[29][88] = 1
X[31][23] = 1
X[32][44] = 1
X[33][57] = 1
X[34][67] = 1
X[35][56] = 1
X[36][60] = 1
X[37][55] = 1
X[39][0] = 1
X[40][58] = 1
X[43][62] = 1
X[44][80] = 1
X[47][65] = 1
X[48][92] = 1
X[52][84] = 1
X[53][74] = 1
X[54][66] = 1
X[55][4] = 1
X[56][73] = 1
X[57][97] = 1
X[58][2] = 1
X[60][31] = 1
X[62][15] = 1
X[63][54] = 1
X[65][43] = 1
X[66][5] = 1
X[67][29] = 1
X[68][13] = 1
X[69][22] = 1
X[73][99] = 1
X[74][21] = 1
X[75][69] = 1
X[78][63] = 1
X[80][96] = 1
X[83][47] = 1
X[84][26] = 1
X[85][94] = 1
X[87][27] = 1
X[88][40] = 1
X[89][33] = 1
X[90][75] = 1
X[91][9] = 1
X[92][11] = 1
X[93][90] = 1
X[94][93] = 1
X[95][10] = 1
X[96][95] = 1
X[97][87] = 1
X[98][18] = 1
X[99][32] = 1

Variable y[i][j]
y[25][77] = 1
y[30][64] = 1
y[37][70] = 1
y[60][25] = 1
y[64][79] = 1
y[66][30] = 1
y[70][71] = 1
y[71][82] = 1
y[77][81] = 1
y[79][76] = 1
y[92][3] = 1

Variable w[i][j]
w[2][2] = 1
w[2][72] = 1
w[3][3] = 1
w[3][59] = 1
w[4][4] = 1
w[4][42] = 1
w[5][5] = 1
w[7][7] = 1
w[9][9] = 1
w[10][10] = 1
w[10][51] = 1
w[11][11] = 1
w[12][12] = 1
w[13][13] = 1
w[14][14] = 1
w[15][15] = 1
w[16][16] = 1
w[17][17] = 1
w[17][45] = 1
w[18][18] = 1
w[21][21] = 1
w[22][22] = 1
w[23][23] = 1
w[24][24] = 1
w[25][25] = 1
w[26][26] = 1
w[27][27] = 1
w[27][38] = 1
w[28][28] = 1
w[29][29] = 1
w[30][30] = 1
w[30][46] = 1
w[31][31] = 1
w[32][32] = 1
w[33][33] = 1
w[34][1] = 1
w[34][34] = 1
w[35][35] = 1
w[36][36] = 1
w[37][37] = 1
w[39][39] = 1
w[40][40] = 1
w[43][43] = 1
w[44][44] = 1
w[47][47] = 1
w[48][48] = 1
w[52][52] = 1
w[53][53] = 1
w[54][41] = 1
w[54][54] = 1
w[55][55] = 1
w[56][56] = 1
w[57][57] = 1
w[58][58] = 1
w[60][60] = 1
w[62][50] = 1
w[62][62] = 1
w[63][19] = 1
w[63][63] = 1
w[64][64] = 1
w[65][65] = 1
w[66][66] = 1
w[67][67] = 1
w[68][68] = 1
w[69][69] = 1
w[70][70] = 1
w[71][49] = 1
w[71][71] = 1
w[73][73] = 1
w[74][74] = 1
w[75][75] = 1
w[76][76] = 1
w[77][8] = 1
w[77][77] = 1
w[78][78] = 1
w[79][79] = 1
w[80][80] = 1
w[81][6] = 1
w[81][81] = 1
w[82][61] = 1
w[82][82] = 1
w[83][83] = 1
w[84][84] = 1
w[85][85] = 1
w[87][87] = 1
w[88][20] = 1
w[88][88] = 1
w[89][89] = 1
w[90][90] = 1
w[91][91] = 1
w[92][92] = 1
w[93][93] = 1
w[94][94] = 1
w[95][86] = 1
w[95][95] = 1
w[96][96] = 1
w[97][97] = 1
w[98][98] = 1
w[99][99] = 1

Variable f[i][j]
f[0][17] = 20
f[1][11] = 11
f[3][10] = 7
f[4][12] = 16
f[4][16] = 1
f[5][9] = 5
f[6][18] = 14
f[7][13] = 1
f[8][19] = 9
f[9][14] = 4
f[10][5] = 6
f[11][8] = 10
f[12][6] = 15
f[14][2] = 1
f[14][7] = 2
f[17][20] = 19
f[18][1] = 12
f[18][15] = 1
f[19][3] = 8
f[20][4] = 18

Value of variables for instance: 20kroD100
Variable X[i][j]
X[0][49] = 1
X[1][99] = 1
X[2][82] = 1
X[4][2] = 1
X[6][73] = 1
X[9][20] = 1
X[10][22] = 1
X[12][0] = 1
X[13][64] = 1
X[14][83] = 1
X[17][24] = 1
X[18][1] = 1
X[19][9] = 1
X[20][55] = 1
X[21][57] = 1
X[22][41] = 1
X[23][87] = 1
X[24][19] = 1
X[25][54] = 1
X[28][35] = 1
X[30][98] = 1
X[32][67] = 1
